Timestamp_Beijing,HR,GSR
'2026-03-13 15:30:54,71,93
'2026-03-13 15:30:54,71,92
'2026-03-13 15:30:55,71,91
'2026-03-13 15:30:55,71,91
'2026-03-13 15:30:55,69,93
'2026-03-13 15:30:55,69,91
'2026-03-13 15:30:56,69,91
'2026-03-13 15:30:56,69,92
'2026-03-13 15:30:56,68,92
'2026-03-13 15:30:56,68,92
'2026-03-13 15:30:56,68,91
'2026-03-13 15:30:57,68,91
'2026-03-13 15:30:57,68,92
'2026-03-13 15:30:57,67,91
'2026-03-13 15:30:57,67,90
'2026-03-13 15:30:57,67,92
'2026-03-13 15:30:58,67,91
'2026-03-13 15:30:58,68,91
'2026-03-13 15:30:58,68,90
'2026-03-13 15:30:58,68,91
'2026-03-13 15:30:58,68,90
'2026-03-13 15:30:59,69,89
'2026-03-13 15:30:59,69,89
'2026-03-13 15:30:59,69,87
'2026-03-13 15:30:59,69,86
'2026-03-13 15:30:59,68,85
'2026-03-13 15:31:00,68,85
'2026-03-13 15:31:00,68,85
'2026-03-13 15:31:00,68,84
'2026-03-13 15:31:00,68,84
'2026-03-13 15:31:00,68,85
'2026-03-13 15:31:01,68,85
'2026-03-13 15:31:01,68,85
'2026-03-13 15:31:01,68,85
'2026-03-13 15:31:01,68,86
'2026-03-13 15:31:01,68,86
'2026-03-13 15:31:02,68,86
'2026-03-13 15:31:02,67,85
'2026-03-13 15:31:02,67,88
'2026-03-13 15:31:02,67,86
'2026-03-13 15:31:02,67,86
'2026-03-13 15:31:03,67,86
'2026-03-13 15:31:03,67,87
'2026-03-13 15:31:03,67,88
'2026-03-13 15:31:03,67,86
'2026-03-13 15:31:04,67,85
'2026-03-13 15:31:04,67,86
'2026-03-13 15:31:04,66,86
'2026-03-13 15:31:04,66,86
'2026-03-13 15:31:04,66,85
'2026-03-13 15:31:05,66,86
'2026-03-13 15:31:05,66,86
'2026-03-13 15:31:05,66,85
'2026-03-13 15:31:05,66,85
'2026-03-13 15:31:05,66,86
'2026-03-13 15:31:06,66,85
'2026-03-13 15:31:06,67,85
'2026-03-13 15:31:06,67,85
'2026-03-13 15:31:06,67,85
'2026-03-13 15:31:06,67,85
'2026-03-13 15:31:07,67,84
'2026-03-13 15:31:07,67,86
'2026-03-13 15:31:07,67,85
'2026-03-13 15:31:07,67,85
